index,species,in_heatmap
1077,mouse,False
1078,mouse,False
1079,mouse,False
1080,mouse,False
1081,mouse,True
1082,mouse,False
1083,mouse,False
1084,mouse,False
1085,mouse,False
1086,mouse,False
1087,mouse,False
1088,mouse,True
1089,mouse,False
1090,mouse,True
1091,mouse,False
1092,mouse,False
1093,mouse,False
1094,mouse,False
1095,mouse,False
1096,mouse,False
1097,mouse,False
1098,mouse,False
1099,mouse,True
1100,mouse,False
1101,mouse,False
1102,mouse,False
1103,mouse,False
1104,mouse,False
1105,mouse,False
1106,mouse,False
1107,mouse,False
1108,mouse,False
1109,mouse,False
1110,mouse,False
1111,mouse,True
1112,mouse,False
1113,mouse,False
1114,mouse,False
1115,mouse,False
1116,mouse,False
1117,mouse,False
1118,mouse,False
1119,mouse,False
1120,mouse,False
1121,mouse,False
1122,mouse,True
1123,mouse,False
1124,mouse,False
1125,mouse,False
1126,mouse,True
1127,mouse,False
1128,mouse,False
1129,mouse,False
1130,mouse,False
1131,mouse,False
1132,mouse,False
1133,mouse,False
1134,mouse,False
1135,mouse,False
1136,mouse,True
1137,mouse,False
1138,mouse,True
1139,mouse,False
1140,mouse,False
1141,mouse,False
1142,mouse,False
1143,mouse,False
1144,mouse,False
1145,mouse,False
1146,mouse,False
1147,mouse,False
1148,mouse,False
1149,mouse,False
1150,mouse,False
1151,mouse,False
1152,mouse,True
1153,mouse,False
1154,mouse,False
1155,mouse,False
1156,mouse,True
1157,mouse,False
1158,mouse,True
1159,mouse,True
1160,mouse,False
1161,mouse,True
1162,mouse,False
1163,mouse,False
1164,mouse,False
1165,mouse,False
1166,mouse,False
1167,mouse,False
1168,mouse,False
1169,mouse,False
1170,mouse,False
1171,mouse,False
1172,mouse,True
1173,mouse,False
1174,mouse,False
1175,mouse,False
1176,mouse,False
1177,mouse,False
1178,mouse,False
1179,mouse,False
1180,mouse,False
1181,mouse,False
1182,mouse,False
1183,mouse,False
1184,mouse,False
1185,mouse,False
1186,mouse,False
1187,mouse,False
1188,mouse,False
1189,mouse,True
1190,mouse,False
1191,mouse,False
1192,mouse,False
1193,mouse,False
1194,mouse,False
1195,mouse,False
1196,mouse,False
1197,mouse,False
1198,mouse,False
1199,mouse,False
1200,mouse,False
1201,mouse,False
1202,mouse,False
1203,mouse,False
1204,mouse,False
1205,mouse,False
1206,mouse,False
1207,mouse,False
1208,mouse,False
1209,mouse,False
1210,mouse,False
1211,mouse,True
1212,mouse,False
1213,mouse,True
1214,mouse,False
1215,mouse,False
1216,mouse,False
1217,mouse,False
1218,mouse,False
1219,mouse,False
1220,mouse,False
1221,mouse,True
1222,mouse,False
1223,mouse,False
1224,mouse,False
1225,mouse,False
1226,mouse,False
1227,mouse,False
1228,mouse,False
1229,mouse,False
1230,mouse,False
1231,mouse,False
1232,mouse,False
1233,mouse,False
1234,mouse,False
1235,mouse,False
1236,mouse,False
1237,mouse,True
1238,mouse,False
1239,mouse,False
1240,mouse,True
1241,mouse,False
1242,mouse,True
1243,mouse,False
1244,mouse,False
1245,mouse,True
1246,mouse,False
1247,mouse,False
1248,mouse,True
1249,mouse,True
1250,mouse,False
1251,mouse,False
1252,mouse,False
1253,mouse,False
1254,mouse,False
1255,mouse,True
1256,mouse,False
1257,mouse,False
1258,mouse,False
1259,mouse,False
1260,mouse,False
1261,mouse,False
1262,mouse,False
1263,mouse,False
1264,mouse,False
1265,mouse,False
1266,mouse,False
1267,mouse,False
1268,mouse,False
1269,mouse,False
1270,mouse,False
1271,mouse,False
1272,mouse,False
1273,mouse,False
1274,mouse,False
1275,mouse,False
1276,mouse,False
1277,mouse,False
1278,mouse,False
1279,mouse,False
1280,mouse,False
1281,mouse,False
1282,mouse,True
1283,mouse,False
1284,mouse,False
1285,mouse,False
1286,mouse,False
1287,mouse,False
1288,mouse,False
1289,mouse,False
1290,mouse,True
1291,mouse,False
1292,mouse,False
1293,mouse,False
1294,mouse,True
1295,mouse,False
1296,mouse,True
1297,mouse,False
1298,mouse,False
1299,mouse,False
1300,mouse,False
1301,mouse,False
1302,mouse,True
1303,mouse,False
1304,mouse,False
1305,mouse,False
1306,mouse,True
1307,mouse,False
1308,mouse,False
1309,mouse,False
1310,mouse,False
1311,mouse,False
1312,mouse,False
1313,mouse,False
1314,mouse,True
1315,mouse,True
1316,mouse,False
1317,mouse,False
1318,mouse,False
1319,mouse,False
1320,mouse,False
1321,mouse,False
1322,mouse,False
1323,mouse,False
1324,mouse,True
1325,mouse,False
1326,mouse,False
1327,mouse,False
1328,mouse,False
1329,mouse,False
1330,mouse,False
1331,mouse,False
1332,mouse,False
1333,mouse,False
1334,mouse,False
1335,mouse,True
1336,mouse,True
1337,mouse,False
1338,mouse,False
1339,mouse,False
1340,mouse,False
1341,mouse,False
1342,mouse,False
1343,mouse,False
1344,mouse,False
1345,mouse,False
1346,mouse,True
1347,mouse,True
1348,mouse,False
1349,mouse,False
1350,mouse,False
1351,mouse,False
1352,mouse,False
1353,mouse,False
1354,mouse,False
1355,mouse,False
1356,mouse,False
1357,mouse,False
1358,mouse,False
1359,mouse,False
1360,mouse,False
1361,mouse,False
1362,mouse,False
1363,mouse,False
1364,mouse,False
1365,mouse,False
1366,mouse,True
1367,mouse,False
1368,mouse,True
1369,mouse,False
1370,mouse,False
1371,mouse,False
1372,mouse,False
1373,mouse,False
1374,mouse,False
1375,mouse,False
1376,mouse,False
1377,mouse,False
1378,mouse,False
1379,mouse,False
1380,mouse,False
1381,mouse,False
1382,mouse,False
1383,mouse,False
1384,mouse,False
1385,mouse,True
1386,mouse,False
1387,mouse,False
1388,mouse,False
1389,mouse,False
1390,mouse,False
1391,mouse,False
1392,mouse,False
1393,mouse,False
1394,mouse,False
1395,mouse,False
1396,mouse,False
1397,mouse,False
1398,mouse,False
1399,mouse,False
1400,mouse,False
1401,mouse,False
1402,mouse,False
1403,mouse,False
1404,mouse,False
1405,mouse,False
1406,mouse,False
1407,mouse,False
1408,mouse,False
1409,mouse,False
1410,mouse,False
1411,mouse,False
1412,mouse,False
1413,mouse,False
1414,mouse,False
1415,mouse,False
1416,mouse,False
1417,mouse,False
1418,mouse,False
1419,mouse,False
1420,mouse,False
1421,mouse,False
1422,mouse,False
1423,mouse,False
1424,mouse,False
1425,mouse,False
1426,mouse,False
1427,mouse,False
1428,mouse,True
1429,mouse,False
1430,mouse,False
1431,mouse,False
1432,mouse,False
1433,mouse,False
1434,mouse,False
1435,mouse,False
1436,mouse,False
1437,mouse,False
1438,mouse,False
1439,mouse,False
1440,mouse,False
