,Mm_WT,Mm_L01,Mm_L02,Mm_L03,Mm_L04,Mm_L05,Mm_L06,Mm_L07,Mm_L08,Mm_L09,Mm_L10,Mm_L11,Mm_L12,Mm_L13,Mm_L14,Mm_L15,Mm_L16,Mm_L17,Mm_L18,Mm_L19,Mm_L20,Hs_WT,Hs_L01,Hs_L02,Hs_L03,Hs_L04,Hs_L05,Hs_L06,Hs_L07,Hs_L08,Hs_L09,Hs_L10,Hs_L11,Hs_L12,Hs_L13,Hs_L14,Hs_L15,Hs_L16,Hs_L17,Hs_L18,Hs_L19,Ancestor
Mm_L10,0.27720883522167117,0.27720883522167117,0.27720883522167117,0.2603997383663612,0.3050597905527407,0.27963514874369466,0.3191427717491129,0.3191427717491129,0.14162299562565872,0.0547765907219111,0.0,0.03861775510073773,0.030033985056994394,0.07692307692307687,0.1158716854944285,0.16737430575688894,0.2120547609097012,0.2487292003492919,0.3093016431295885,0.3594873847796515,0.3889976073838668,0.7966099280507493,0.7411399084282264,0.8490297287807206,0.8773366546343354,0.8779705779755003,0.8319004555958422,0.7955852864427111,0.7894599027205823,0.737101324943463,0.6842230221895527,0.6408183610397564,0.6120454272614504,0.6619516753003716,0.715327726568734,0.7630758430783047,0.7130000723429479,0.7303940073524662,0.7379287908195205,0.682668468791233,0.7204573768741551,1.0
Mm_L11,0.31630352762085456,0.31630352762085456,0.31630352762085456,0.29942213324112255,0.34462744596361183,0.3190934503518045,0.3589509437956021,0.3589509437956021,0.18103448275862066,0.09309006390716601,0.03861775510073773,0.0,0.06896551724137934,0.1158716854944285,0.15517241379310343,0.2068965517241379,0.25214563824198766,0.28936431357710857,0.3507968527861096,0.4014038347155645,0.43083559696316465,0.7585960603698325,0.702887458916717,0.8104754891052741,0.838904165739483,0.8397367079239288,0.7936613197918645,0.7573799119191298,0.7517811931683888,0.6995527206991927,0.6466208165572844,0.6032008353105525,0.5741327789280095,0.6247606128067718,0.6783662395486616,0.7268059667426947,0.6768281623983012,0.6942969103767715,0.7017084773039715,0.725566985178852,0.7631214378590362,1.0
Mm_L12,0.3078628304309885,0.3078628304309885,0.3078628304309885,0.2909814360512566,0.33611611409300934,0.3105821184812021,0.3504036230462101,0.3504036230462101,0.1724137931034483,0.08461427011190592,0.030033985056994394,0.06896551724137934,0.0,0.04720152514448117,0.08620689655172409,0.13793103448275867,0.1825777906365912,0.21917807294274894,0.27965130240650526,0.32992966572637816,0.3596900465835602,0.7678808272786852,0.7121722258255696,0.8199517146500105,0.8483803912842194,0.8491639603989919,0.8030403507104162,0.8320322467132437,0.825327506303681,0.7723884247721158,0.7191088541865595,0.6753461379813611,0.6466208165572844,0.6962347817959581,0.7498404085378478,0.7973076527445799,0.746703154312182,0.7641719022906523,0.7718947179383311,0.7167143072813955,0.7543481577797413,1.0
Mm_L13,0.35284977107056603,0.35284977107056603,0.35284977107056603,0.3360406742152561,0.38133371597987886,0.35590907417083284,0.3957392099273377,0.3957392099273377,0.2188769260193495,0.1307320432531861,0.07692307692307687,0.1158716854944285,0.04720152514448117,0.0,0.03861775510073773,0.09012037536319828,0.13412611088978155,0.17010783759514803,0.22960567887531036,0.2794233078771079,0.3093016431295885,0.7781199215099084,0.7226499018873854,0.8301584448783106,0.8584653707319255,0.8591968207409619,0.8132227284398247,0.8420431758875495,0.8352294890856731,0.7824286827118315,0.7293340190196166,0.685716065909787,0.6571564240915144,0.706431718024007,0.7598077692923693,0.8069506869526927,0.7564849098667437,0.7738788448762619,0.7554002047648858,0.7002979983028311,0.7379287908195205,1.0
Mm_L14,0.3922698023296485,0.3922698023296485,0.3922698023296485,0.37538840794991646,0.4212294327990338,0.39569543718722644,0.4358768305401298,0.4358768305401298,0.2586206896551724,0.16937220806450726,0.1158716854944285,0.15517241379310343,0.08620689655172409,0.03861775510073773,0.0,0.051724137931034475,0.09561798112984554,0.1314452721497994,0.19071936443199977,0.2405869544898953,0.2707581086090547,0.7400265265521273,0.6843179250990119,0.7915230380158016,0.8199517146500105,0.8208822029738029,0.7749032579547613,0.804037621165451,0.7977476388779464,0.7450750357447695,0.6919258400755813,0.7294551149844676,0.7009868447792407,0.7498404085378478,0.8034460352797376,0.850183917245994,0.7991093982475928,0.8165781462260628,0.798214558176216,0.7432723409737647,0.7806679980176261,1.0
Mm_L15,0.4429139854688444,0.4429139854688444,0.4429139854688444,0.4260325910891124,0.4722974240226485,0.44676342841084116,0.4871607550364817,0.4871607550364817,0.31034482758620685,0.22022697083606801,0.16737430575688894,0.2068965517241379,0.13793103448275867,0.09012037536319828,0.051724137931034475,0.0,0.04344209542579813,0.07880559167402967,0.13736020164729645,0.18698132774800558,0.21739894582435138,0.6843179250990119,0.7400265265521273,0.8483803912842194,0.8768090679184282,0.8774457178241809,0.831177443466071,0.8600268722610365,0.8529073737294156,0.7997018137994618,0.7462918682975376,0.783564091987574,0.7553528730011969,0.8034460352797376,0.8570516620216273,0.9030601817474078,0.8515156421830032,0.8689843901614736,0.8508542386519857,0.7963884083585031,0.8333076784933958,1.0
Mm_L16,0.48913501186453057,0.48913501186453057,0.48913501186453057,0.4721061789266816,0.5192025887436637,0.49344558456921706,0.5344135521620632,0.5344135521620632,0.35649740965008236,0.2647155143389729,0.2120547609097012,0.25214563824198766,0.1825777906365912,0.13412611088978155,0.09561798112984554,0.04344209542579813,0.0,0.035360456635975424,0.09394262621488758,0.1438313884765311,0.17468041199771933,0.6440973915989563,0.7002925402938579,0.8088202217745318,0.8374971885083521,0.8383370019416347,0.791859201032636,0.82115221000378,0.8145283719751142,0.7612165335295403,0.7075154682095564,0.745286083851363,0.7166556098280077,0.7656801694777875,0.8197539765213749,0.8666548132343338,0.9030827600214424,0.9207040763811801,0.9026510552568415,0.8481900793965678,0.8849512471217218,1.0
Mm_L17,0.527544408738466,0.527544408738466,0.527544408738466,0.5103642054198647,0.5582386829695364,0.5322527231442149,0.5737679871084771,0.5737679871084771,0.394643674528648,0.3013086211658663,0.2487292003492919,0.28936431357710857,0.21917807294274894,0.17010783759514803,0.1314452721497994,0.07880559167402967,0.035360456635975424,0.0,0.0587368014672045,0.10894361486969784,0.14019227057100414,0.6314846388160034,0.6881793097673875,0.7974768531747544,0.8264087312926466,0.8273058497979994,0.7804639798576514,0.8100657059006034,0.81287970285872,0.7590939720851422,0.704915554574673,0.7430219156249767,0.7141369434942144,0.7635972855776749,0.8181517581366731,0.8654694993748422,0.902221256501468,0.9199992098648375,0.9017857142857143,0.8468406313417549,0.8839285714285714,1.0
Mm_L18,0.5907469508600535,0.5907469508600535,0.5907469508600535,0.5733319274923963,0.622443696087172,0.5961025586048816,0.6384822677225229,0.6384822677225229,0.45751517835551625,0.36170860718581455,0.3093016431295885,0.3507968527861096,0.27965130240650526,0.22960567887531036,0.19071936443199977,0.13736020164729645,0.09394262621488758,0.0587368014672045,0.0,0.05068116413731516,0.08256880733944949,0.5785564345026933,0.6360260116159624,0.7458298867231231,0.7751572074858397,0.8152202033429395,0.7677878417787669,0.7978431562097323,0.8198060248470623,0.8215470702682307,0.766314314595164,0.804632142819809,0.7756617420113574,0.7972328700099119,0.852532996370845,0.8999958675124473,0.9369266977644286,0.9549476412603062,0.9366457462526003,0.881277301105922,0.9185445308962004,1.0
Mm_L19,0.6413430145943234,0.6413430145943234,0.6413430145943234,0.6238475518916075,0.6736253901846061,0.6471625839833579,0.6899618313192386,0.6899618313192386,0.508615088199344,0.4114649910242183,0.3594873847796515,0.4014038347155645,0.32992966572637816,0.2794233078771079,0.2405869544898953,0.18698132774800558,0.1438313884765311,0.10894361486969784,0.05068116413731516,0.0,0.03224778868367073,0.5284972801618056,0.5862323070807682,0.6955512469891254,0.7250140295385649,0.7655158472957804,0.7181142756320946,0.7485544969528809,0.7713352198099882,0.7735445931710808,0.8215785462239799,0.859806961476989,0.8309691490542968,0.8518518518518519,0.9074074074074074,0.9543336146374007,0.9909479092234406,1.0,0.9909075879068336,0.9357771137009623,0.9727227637205009,1.0
Mm_L20,0.6691145560145113,0.6691145560145113,0.6691145560145113,0.651699532646854,0.7014671085340429,0.6751259710517525,0.7178398187102617,0.7178398187102617,0.5375539225325713,0.4404020665738648,0.3889976073838668,0.43083559696316465,0.3596900465835602,0.3093016431295885,0.2707581086090547,0.21739894582435138,0.17468041199771933,0.14019227057100414,0.08256880733944949,0.03224778868367073,0.0,0.4923520688327897,0.5498216459460588,0.6578479244349734,0.68717524519769,0.7276929312422267,0.6807082824458046,0.7112045088710461,0.7344509839851445,0.7370167351321294,0.7850091694275508,0.8232386054083987,0.8597885887570984,0.8801830595513116,0.9354831859122448,0.9818174304568086,1.0,1.0,1.0,0.9634699388018222,1.0,1.0
Hs_WT,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9454545454545454,0.9449980901783073,0.917497135267461,0.8803252996732179,0.8803252996732179,0.9535761654557371,0.8448119420402029,0.7966099280507493,0.7585960603698325,0.7678808272786852,0.7781199215099084,0.7400265265521273,0.6843179250990119,0.6440973915989563,0.6314846388160034,0.5785564345026933,0.5284972801618056,0.4923520688327897,0.0,0.06000000000000005,0.16309100454908076,0.19370962633387057,0.23849037614978574,0.2827916933679304,0.3165742856237358,0.37620704792469517,0.4214574013423571,0.4730139606077921,0.5143570688213679,0.5510859664436747,0.6054773160537558,0.6632123429727184,0.7152526012742503,0.7554125742202646,0.7742269915879366,0.8299159871458477,0.9427922446452645,0.9811017763495387,1.0
Hs_L01,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8909090909090909,0.8899961803566147,0.8624952254457683,0.8250908225993185,0.8250908225993185,0.8978675640026215,0.7900396862896863,0.7411399084282264,0.702887458916717,0.7121722258255696,0.7226499018873854,0.6843179250990119,0.7400265265521273,0.7002925402938579,0.6881793097673875,0.6360260116159624,0.5862323070807682,0.5498216459460588,0.06000000000000005,0.0,0.10185376097950138,0.13247238276429107,0.17756960624176854,0.2221825406947977,0.2562720167081831,0.31679819534609477,0.36262256080090194,0.41445995623088017,0.4560799170799321,0.49253196206676275,0.5477422891347932,0.6054773160537558,0.6583031215291004,0.6989693221172488,0.7177837394849208,0.7732213161944637,0.8855844892905289,0.9244071053981545,1.0
Hs_L02,0.8329893357193288,0.8329893357193288,0.8329893357193288,0.8144325952436986,0.81287970285872,0.7848116582875281,0.7463194655490453,0.7463194655490453,0.8199517146500105,0.8975135510312596,0.8490297287807206,0.8104754891052741,0.8199517146500105,0.8301584448783106,0.7915230380158016,0.8483803912842194,0.8088202217745318,0.7974768531747544,0.7458298867231231,0.6955512469891254,0.6578479244349734,0.16309100454908076,0.10185376097950138,0.0,0.03125,0.07770782707773294,0.12366476998003229,0.1588748116412264,0.22186486967509833,0.26941529826429,0.3227037880438436,0.3655587314254847,0.4023856953328031,0.4598489865936095,0.5187745516924884,0.5737586579393292,0.6159523136787157,0.63515469799478,0.6913933000758161,0.8053752639596192,0.8456966500379081,1.0
Hs_L03,0.8051542250058836,0.8051542250058836,0.8051542250058836,0.7865974845302535,0.7848116582875281,0.81287970285872,0.7745061915991514,0.7745061915991514,0.8483803912842194,0.925464400750007,0.8773366546343354,0.838904165739483,0.8483803912842194,0.8584653707319255,0.8199517146500105,0.8768090679184282,0.8374971885083521,0.8264087312926466,0.7751572074858397,0.7250140295385649,0.68717524519769,0.19370962633387057,0.13247238276429107,0.03125,0.0,0.04661932686686998,0.09273529127344515,0.1281019388963932,0.1915479165455567,0.2393912694258361,0.2928230728104837,0.3358192969610543,0.37250498009944333,0.43038620404417005,0.48931176914304897,0.5446967482533744,0.5871487372046194,0.6063511215206836,0.6624614219579239,0.7761815535535621,0.8167647719200158,1.0
Hs_L04,0.8061611866563091,0.8061611866563091,0.8061611866563091,0.7877003472902433,0.7859237501854903,0.8138467392917307,0.7756715420794218,0.7756715420794218,0.8397367079239288,0.9165808002519927,0.8779705779755003,0.8397367079239288,0.8491639603989919,0.8591968207409619,0.8208822029738029,0.8774457178241809,0.8383370019416347,0.8273058497979994,0.8152202033429395,0.7655158472957804,0.7276929312422267,0.23849037614978574,0.17756960624176854,0.07770782707773294,0.04661932686686998,0.0,0.04614130355071944,0.0815848376160595,0.14545886592383472,0.19354064877980393,0.2469339385673467,0.28994220957307715,0.32620405029709965,0.3844790991514234,0.4431001373274783,0.49886355583152997,0.5415244834362624,0.5606276299597515,0.6162352217733318,0.7289335165951127,0.7697411330639992,1.0
Hs_L05,0.7612366712876593,0.7612366712876593,0.7612366712876593,0.74287026138671,0.7407185105791343,0.7684986701599413,0.814015841455966,0.814015841455966,0.7936613197918645,0.8709005551264194,0.8319004555958422,0.7936613197918645,0.8030403507104162,0.8132227284398247,0.7749032579547613,0.831177443466071,0.791859201032636,0.7804639798576514,0.7677878417787669,0.7181142756320946,0.6807082824458046,0.2827916933679304,0.2221825406947977,0.12366476998003229,0.09273529127344515,0.04614130355071944,0.0,0.035520568867476565,0.09981994598199373,0.14813898436839812,0.20149556704670446,0.24451689828221035,0.2803602024001164,0.3390265773442218,0.39734776169620223,0.4534872121828659,0.4963560631771402,0.5153614947553613,0.570473004069318,0.6821629219816144,0.7231937137335605,1.0
Hs_L06,0.7258987776565785,0.7258987776565785,0.7258987776565785,0.7076253628336837,0.7051786704945162,0.7328181701356553,0.7779490473386524,0.7779490473386524,0.7573799119191298,0.8348554352310459,0.7955852864427111,0.7573799119191298,0.8320322467132437,0.8420431758875495,0.804037621165451,0.8600268722610365,0.82115221000378,0.8100657059006034,0.7978431562097323,0.7485544969528809,0.7112045088710461,0.3165742856237358,0.2562720167081831,0.1588748116412264,0.1281019388963932,0.0815848376160595,0.035520568867476565,0.0,0.06457242002509966,0.11303140601637607,0.1663059943566254,0.20929499291247933,0.24477131253482542,0.3036893761772086,0.3617152614957746,0.41809679618398843,0.46108777359247033,0.4799969745190503,0.5346609794564784,0.6454415956780908,0.6866084147359957,1.0
Hs_L07,0.7479624436059374,0.7479624436059374,0.7479624436059374,0.7299597610063615,0.709546635365474,0.7367766382999609,0.7812388729507083,0.7812388729507083,0.6874281691750082,0.7649920040297892,0.7894599027205823,0.7517811931683888,0.825327506303681,0.8352294890856731,0.7977476388779464,0.8529073737294156,0.8145283719751142,0.81287970285872,0.8198060248470623,0.7713352198099882,0.7344509839851445,0.37620704792469517,0.31679819534609477,0.22186486967509833,0.1915479165455567,0.14545886592383472,0.09981994598199373,0.06457242002509966,0.0,0.04849884420874373,0.10135489473870496,0.14407248397448735,0.17865769949236465,0.23778406603329405,0.294950261080797,0.3515335444002089,0.3945559033030135,0.4131849524321516,0.4667071531473522,0.5751691119722344,0.6164033908603761,1.0
Hs_L08,0.7147401670717324,0.7147401670717324,0.7147401670717324,0.6969114275137156,0.72134198219756,0.7483088871461832,0.7923795334061908,0.7923795334061908,0.6358214796353852,0.7135540503842268,0.737101324943463,0.6995527206991927,0.7723884247721158,0.7824286827118315,0.7450750357447695,0.7997018137994618,0.7612165335295403,0.7590939720851422,0.8215470702682307,0.7735445931710808,0.7370167351321294,0.4214574013423571,0.36262256080090194,0.26941529826429,0.2393912694258361,0.19354064877980393,0.14813898436839812,0.11303140601637607,0.04849884420874373,0.0,0.05262073459069594,0.09519706016064211,0.12917663482579123,0.18853479219637304,0.2451486439036028,0.3019555083906812,0.3450585796231427,0.36350763371826544,0.4162661631293828,0.5231770350956868,0.564516026461603,1.0
Hs_L09,0.6628708838905067,0.6628708838905067,0.6628708838905067,0.6451272462005334,0.6689957318549924,0.6958339157586417,0.7394672373391529,0.7394672373391529,0.5831937836316688,0.6614690935775958,0.6842230221895527,0.6466208165572844,0.7191088541865595,0.7293340190196166,0.6919258400755813,0.7462918682975376,0.7075154682095564,0.704915554574673,0.766314314595164,0.8215785462239799,0.7850091694275508,0.4730139606077921,0.41445995623088017,0.3227037880438436,0.2928230728104837,0.2469339385673467,0.20149556704670446,0.1663059943566254,0.10135489473870496,0.05262073459069594,0.0,0.04264327663238354,0.07619047619047614,0.13606453961084974,0.1924081565927509,0.24971048059141665,0.2931018356585847,0.31146282694018,0.3637241645516386,0.46962400007287164,0.5112663872643022,1.0
Hs_L10,0.6203155265330695,0.6203155265330695,0.6203155265330695,0.6026557835811193,0.6260419581127852,0.6527532468190149,0.6959920220527421,0.6959920220527421,0.540073695473595,0.6187367901040991,0.6408183610397564,0.6032008353105525,0.6753461379813611,0.685716065909787,0.7294551149844676,0.783564091987574,0.745286083851363,0.7430219156249767,0.804632142819809,0.859806961476989,0.8232386054083987,0.5143570688213679,0.4560799170799321,0.3655587314254847,0.3358192969610543,0.28994220957307715,0.24451689828221035,0.20929499291247933,0.14407248397448735,0.09519706016064211,0.04264327663238354,0.0,0.03316449719310022,0.09341835088452843,0.14949556629373284,0.20716278152072776,0.2507587184939418,0.2690328960916506,0.3208436341517241,0.425827465403107,0.46768825379459456,1.0
Hs_L11,0.5918963331306134,0.5918963331306134,0.5918963331306134,0.5741526954406401,0.597427241445261,0.6242654253489103,0.6675961303982295,0.6675961303982295,0.5107057460023938,0.590199429067616,0.6120454272614504,0.5741327789280095,0.6466208165572844,0.6571564240915144,0.7009868447792407,0.7553528730011969,0.7166556098280077,0.7141369434942144,0.7756617420113574,0.8309691490542968,0.8597885887570984,0.5510859664436747,0.49253196206676275,0.4023856953328031,0.37250498009944333,0.32620405029709965,0.2803602024001164,0.24477131253482542,0.17865769949236465,0.12917663482579123,0.07619047619047614,0.03316449719310022,0.0,0.060939716968315016,0.11728333395021606,0.17560781200785291,0.21965787053220398,0.23801886181379917,0.28995305319530684,0.3951852632409939,0.4374952759079703,1.0
Hs_L12,0.5276225070266698,0.5276225070266698,0.5276225070266698,0.5101270443239538,0.5589532299791974,0.5854160361804455,0.6279541975830862,0.6279541975830862,0.5622207149412337,0.6398517109252679,0.6619516753003716,0.6247606128067718,0.6962347817959581,0.706431718024007,0.7498404085378478,0.8034460352797376,0.7656801694777875,0.7635972855776749,0.7972328700099119,0.8518518518518519,0.8801830595513116,0.6054773160537558,0.5477422891347932,0.4598489865936095,0.43038620404417005,0.3844790991514234,0.3390265773442218,0.3036893761772086,0.23778406603329405,0.18853479219637304,0.13606453961084974,0.09341835088452843,0.060939716968315016,0.0,0.05555555555555558,0.11407212396557465,0.15815555777996892,0.17625973933308792,0.22714497208086037,0.330247042881464,0.3726235655715219,1.0
